anyo;fallecidos;siniestros;VS_S;parque_vehicular;VP_S;;STD S;20226,23662
1972;1792;26727;0,004273517;401114;-0,53548143;;STD P;1521174,181
1973;1719;23480;0,002138981;417767;-0,527519918;;;
1974;1269;18356;-0,001229469;431172;-0,521111219;;PROMEDIO S;47131,58333
1975;1054;16602;-0,002382526;445693;-0,51416898;;PROMEDIO P;2091688,188
1976;1079;17716;-0,001650197;466049;-0,504437127;;;
1977;1071;19638;-0,000386699;514180;-0,481426528;;;
1978;1207;19623;-0,00039656;589788;-0,445279648;;;
1979;1309;21506;0,0008413;608630;-0,436271614;;;
1980;1434;25606;0,003536586;797180;-0,346129115;;;
1981;1552;33536;0,008749664;863038;-0,314643542;;;
1982;1274;55272;0,023038626;912749;-0,290877572;;;
1983;1363;47889;0,018185139;916360;-0,289151215;;;
1984;1210;39207;0,012477705;930457;-0,282411683;;;
1985;1049;30751;0,006918842;944564;-0,27566737;;;
1986;1191;35268;0,009888258;962564;-0,267061881;;;
1987;1198;32790;0,008259254;972042;-0,262530612;;;
1988;1248;34226;0,009203261;985843;-0,255932593;;;
1989;1465;37217;0,011169506;1018255;-0,240436975;;;
1990;1587;39479;0,012656515;1074228;-0,213677251;;;
1991;1602;40368;0,013240932;1174194;-0,165885232;;;
1992;1700;43402;0,015235444;1356503;-0,078726448;;;
1993;1760;44837;0,016178794;1476128;-0,021535801;;;
1994;1762;44236;0,015783704;1508957;-0,005840823;;;
1995;1890;50790;0,020092218;1678675;0,075298422;;;
1996;1925;57775;0,024684066;1826137;0,145797457;;;
1997;1883;52394;0,021146667;1988647;0,223490682;;;
1998;1959;49890;0,01950057;2024510;0,240636163;;;
1999;1655;47052;0,017634906;2145437;0,298449273;;;
2000;1698;40926;0,013607754;2128855;0,290521705;;;
2001;1562;44831;0,016174849;2176501;0,313300435;;;
2002;1549;41734;0,014138922;2218062;0,333170031;;;
2003;1703;44450;0,015924385;2195878;0,322564244;;;
2004;1757;46620;0,017350915;2298620;0,37168342;;;
2005;1626;46328;0,017158958;2351662;0,397041884;;;
2006;1652;44839;0,016180109;2657892;0,543445159;;;
2007;1645;53682;0,021993381;2824570;0,623131032;;;
2008;1782;57087;0,024231783;3023050;0,718020892;;;
2009;1508;56330;0,023734142;3139088;0,773496656;;;
2010;1595;57746;0,024665001;3375523;0,886532147;;;
2011;1573;62834;0,028009786;3654727;1,020014757;;;
2012;1523;61791;0,027324132;3973913;1,172612072;;;
2013;1623;73276;0,03487422;4263084;1,310859733;;;
2014;1630;78445;0,038272253;4568664;1,456952254;;;
2015;1646;79880;0,039215603;4751130;1,544186097;;;
2016;1675;91711;0,046993148;4960945;1,644495025;;;
2017;1483;94879;0,04907575;5190704;1,754338836;;;
2018;1507;89311;0,045415419;5498895;1,90167963;;;
2019;1617;89983;0,045857183;5718409;2,006625483;;;
